subject_name,course_name,course_url
Engineering Courses,Matrix Algebra for Engineers,https://www.classcentral.com/course/matrix-algebra-engineers-11986
Engineering Courses,Vector Calculus for Engineers,https://www.classcentral.com/course/vector-calculus-engineers-17387
Engineering Courses,Technical Report Writing for Engineers,https://www.classcentral.com/course/technical-report-writing-for-engineers-9087
Engineering Courses,Mechanics of Materials I: Fundamentals of Stress & Strain and Axial Loading,https://www.classcentral.com/course/mechanics-1-5031
Engineering Courses,Pronóstico de la generación de energía eólica y solar fotovoltaica,https://www.classcentral.com/course/edx-pronostico-de-la-generacion-de-energia-eolica-y-solar-fotovoltaica-19544
Engineering Courses,Introduction to Indoor Air Quality,https://www.classcentral.com/course/intro-indoor-air-quality-9706
Engineering Courses,Industrial Pharmacy-I,https://www.classcentral.com/course/swayam-industrial-pharmacy-i-14123
Engineering Courses,Circuits and Electronics 1: Basic Circuit Analysis,https://www.classcentral.com/course/edx-circuits-and-electronics-1-basic-circuit-analysis-444
Engineering Courses,Applications in Engineering Mechanics,https://www.classcentral.com/course/statics2-1148
Engineering Courses,Do-It-Yourself  Geo Apps,https://www.classcentral.com/course/independent-do-it-yourself-geo-apps-7986
Engineering Courses,Building a Future with Robots,https://www.classcentral.com/course/robotic-future-6721
Engineering Courses,El rol de la digitalización en la transición energética,https://www.classcentral.com/course/el-rol-de-la-digitalizacion-en-la-transicion-ener-48104
Engineering Courses,Introducción a la energía solar fotovoltaica: El módulo fotovoltaico,https://www.classcentral.com/course/edx-introduccion-a-la-energia-solar-fotovoltaica-el-modulo-fotovoltaico-11841
Education & Teaching Courses,Early Childhood Care and Education,https://www.classcentral.com/course/swayam-early-childhood-care-and-education-14020
Education & Teaching Courses,Teaching Young Learners Online,https://www.classcentral.com/course/teaching-young-learners-online-20139
Education & Teaching Courses,Understanding IELTS: Reading,https://www.classcentral.com/course/understanding-ielts-reading-17038
Education & Teaching Courses,Understanding IELTS: Listening,https://www.classcentral.com/course/understanding-ielts-listening-17168
Education & Teaching Courses,Understanding IELTS: Speaking,https://www.classcentral.com/course/understanding-ielts-speaking-17037
Education & Teaching Courses,Understanding IELTS: Writing,https://www.classcentral.com/course/understanding-ielts-writing-17169
Education & Teaching Courses,Learning and Learners,https://www.classcentral.com/course/english-language-teaching-learning-6379
Education & Teaching Courses,The Classroom and the World,https://www.classcentral.com/course/english-language-teaching-classroom-6380
Education & Teaching Courses,Lessons and Teaching,https://www.classcentral.com/course/english-language-teaching-3659
Education & Teaching Courses,Uncommon Sense Teaching,https://www.classcentral.com/course/uncommon-sense-teaching-46410
Education & Teaching Courses,Research Ethics and Plagiarism,https://www.classcentral.com/course/swayam-research-ethics-and-plagiarism-59132
Education & Teaching Courses,"Education for All: Disability, Diversity and Inclusion ",https://www.classcentral.com/course/education-for-all-5664
Education & Teaching Courses,Migrants and Refugees in Education: A toolkit for teachers,https://www.classcentral.com/course/migrants-and-refugees-in-education-11825
Education & Teaching Courses,School Counseling,https://www.classcentral.com/course/swayam-school-counseling-23796
Education & Teaching Courses,Becoming a Better Teacher: Exploring Professional Development,https://www.classcentral.com/course/becoming-a-better-teacher-8267
Computer Science Courses,"Internet History, Technology, and Security",https://www.classcentral.com/course/insidetheinternet-335
Computer Science Courses,Functional Program Design in Scala,https://www.classcentral.com/course/progfun2-1186
Computer Science Courses,Computer Simulations,https://www.classcentral.com/course/computer-simulations-17986
Computer Science Courses,Unlocking Information Security II: An Internet Perspective,https://www.classcentral.com/course/edx-unlocking-information-security-part-ii-16965
Computer Science Courses,Introduction to Artificial Intelligence,https://www.classcentral.com/course/udacity-introduction-to-artificial-intelligence-301
